# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4346
#@/user_id	59ea4f9f-a96e-4312-a182-97f9f0abbd26
a 	啊	c=30 d=0.695769 t=4346
a 	阿	c=1 d=1 t=1180
a ku ya 	阿库娅	c=1 d=1 t=2490
a si dun 	阿斯顿	c=2 d=1.97119 t=4097
a si dun sha diao 	阿斯顿沙雕	c=1 d=1 t=4074
ai 	唉	c=2 d=1.24783 t=1061
ai ke 	艾克	c=1 d=0.621885 t=4346
ai mi li ya 	爱蜜莉雅	c=1 d=1 t=2119
an 	安	c=3 d=1.99024 t=4101
an 	按	c=0 d=0.1 t=2080
an cuo 	安厝	c=1 d=1 t=2080
an cuo le 	按错了	c=1 d=1 t=2081
an zhuang 	安装	c=5 d=1.0012 t=4145
an zhuo 	安卓	c=1 d=1 t=2385
an zhuo ban 	安卓版	c=1 d=1 t=4292
ang si 	盎司	c=0 d=0.1 t=2678
ang si da suan 	盎司打算	c=1 d=1 t=2679
ao 	奥	c=0 d=0.1 t=2782
ao ba 	奥巴	c=1 d=1 t=1900
ao chang zhang 	敖厂长	c=2 d=1.00006 t=3048
ao tuo 	奥托	c=1 d=0.13332 t=4346
ba 	吧	c=11 d=0.737503 t=4346
ba 	把	c=16 d=0.891366 t=4346
ba bu de 	巴不得	c=2 d=1.042 t=3160
ba dai 	八代	c=1 d=1 t=923
ba fu 	巴佛	c=0 d=0.010383 t=4346
ba le 	罢了	c=2 d=0.744532 t=4346
bai 	白	c=1 d=1 t=1112
bai da 	百大	c=3 d=1.0167 t=3242
bai du 	百度	c=2 d=1.19989 t=4106
bai du yun 	百度云	c=1 d=1 t=1863
bai fen bi 	百分比	c=3 d=2.29479 t=2689
bai gei 	白给	c=2 d=1.93239 t=1404
bai gei 	败给	c=1 d=1 t=1389
bai hu 	白狐	c=2 d=0.13068 t=4346
bai mao 	白毛	c=1 d=1 t=3327
bai nian 	拜年	c=1 d=1 t=4036
bai piao 	白嫖	c=4 d=1.07706 t=3731
bai se 	白色	c=1 d=1 t=1198
ban 	班	c=2 d=1.93239 t=1177
ban ben 	版本	c=7 d=1.39703 t=4346
ban ben da an 	版本答案	c=1 d=1 t=4015
bang 	帮	c=1 d=1 t=4003
bang 	棒	c=3 d=0.396531 t=4346
bang ding 	绑定	c=1 d=1 t=1126
bao 	保	c=3 d=1.76064 t=4102
bao 	包	c=1 d=1 t=4111
bao cun 	保存	c=1 d=1 t=4290
bao fa 	爆发	c=1 d=1 t=1017
bao jian 	包间	c=1 d=1 t=4107
bao po 	爆破	c=1 d=1 t=1359
bao zha 	爆炸	c=2 d=1.0005 t=2773
bao zhi bai bing 	包治百病	c=1 d=1 t=2363
bao zhi qi 	保质期	c=1 d=1 t=2973
bei 	呗	c=1 d=1 t=2407
bei 	被	c=10 d=1.67259 t=3915
bei an 	备案	c=2 d=1.98511 t=4139
bei dong 	被动	c=2 d=0.715338 t=4346
bei fen 	备份	c=1 d=1 t=3045
bei zi 	杯子	c=1 d=1 t=4064
ben di 	本地	c=1 d=1 t=3591
ben lai 	本来	c=1 d=1 t=1023
ben zhi 	本质	c=1 d=1 t=3337
bi 	比	c=5 d=0.741215 t=4346
bi 	碧	c=2 d=1.38674 t=2717
bi ji ben 	笔记本	c=2 d=1.95123 t=3885
bi jiao 	比较	c=2 d=1.00541 t=1929
bi jing 	毕竟	c=1 d=1 t=3593
bi o e 	比哦额	c=1 d=1 t=2138
bi sai 	比赛	c=1 d=0.0871609 t=4346
bi te bi 	比特币	c=1 d=1 t=3884
bi zhi 	壁纸	c=1 d=1 t=2236
bian cheng 	编程	c=1 d=1 t=2651
bian ka 	变卡	c=1 d=1 t=739
bian ruan 	变软	c=1 d=1 t=4254
